ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1436,3.3936,7.2266,-0.5434,5.0397,8.395,-4.4251,1.0608,0.8686,0.1573,-1.4974,1.4961,4529.0,14.55,-36.74,-27.82,207.09,-30.6,13.02,3.1,996.56,41.456,33.910465,-84.69901,900.47,NaN,,0.0,10.374194,,16 / 22,11,2020-02-15 08:47:52:110
-1.9272,3.0872,10.2048,0.1653,3.5511,9.1396,1.96,2.202,0.2064,0.4119,0.4131,0.5608,3926.0,-1.53,-33.25,-35.89,181.99,-21.6,-4.14,3.1,996.54,46.753,33.910465,-84.69901,900.47,NaN,,0.0,10.374194,,16 / 22,511,2020-02-15 08:47:52:610
-0.553,5.7111,9.5716,0.3261,4.2903,8.8123,-0.0078,0.2715,-0.7929,0.0721,-0.0537,0.4256,3811.0,-2.87,-33.62,-33.73,170.18,-25.11,-0.29,3.1,996.57,42.238,33.910458,-84.69901,901.48,NaN,,1.84,10.374194,270.4,17 / 22,1011,2020-02-15 08:47:53:110
0.954,1.5526,3.0321,5.0455,2.7277,7.9544,-3.8262,-0.979,-4.6065,-0.8828,-3.9395,0.346,3869.0,-21.52,-31.85,-29.78,132.08,-25.17,-10.21,3.1,996.55,43.952,33.910458,-84.69901,901.48,NaN,,1.84,10.374194,270.4,17 / 22,1513,2020-02-15 08:47:53:612
9.4052,-3.2931,5.4945,8.6309,-4.6556,-0.0598,8.1447,-1.1267,3.9043,0.3997,-1.7872,-2.0642,59065.0,-44.47,24.92,-6.02,143.52,49.27,-66.68,3.1,996.61,59.03,33.910446,-84.699005,901.63,NaN,,5.47,10.374194,270.4,17 / 22,2011,2020-02-15 08:47:54:110
3.3541,-3.2213,4.3202,7.2843,-6.471,-1.1114,-0.4476,4.9601,-4.0839,-0.9747,0.6237,-2.2688,2453.0,-34.15,31.66,21.04,105.45,50.21,-90.35,3.1,996.58,68.142,33.910446,-84.699005,901.63,NaN,,5.47,10.374194,270.4,17 / 22,2511,2020-02-15 08:47:54:610
6.6364,-5.4992,7.8503,8.4243,-4.9291,0.9519,-0.3344,0.3122,-16.1855,2.1129,-0.1744,2.3829,4536.0,-47.98,0.92,11.24,126.52,16.06,-83.84,0.0,996.55,64.856,33.910404,-84.69896,898.48,NaN,,21.31,10.374194,138.5,17 / 22,3017,2020-02-15 08:47:55:116
-5.5938,-3.426,4.6505,8.5469,-4.5102,1.6672,-13.7468,1.5437,0.7962,1.6819,-0.3606,-0.8514,199.0,-38.13,29.97,17.43,72.35,31.68,-85.99,0.0,996.64,71.074,33.910404,-84.69896,898.48,NaN,,21.31,10.374194,138.5,17 / 22,3511,2020-02-15 08:47:55:610
9.8912,2.8981,-1.5394,6.0072,-6.4472,-4.3031,18.3815,-8.9769,-1.0916,-4.5534,-0.0014,1.4755,7.0,-30.71,39.81,10.82,52.66,38.78,-75.07,0.0,996.66,69.975,33.910385,-84.698944,894.61,NaN,,13.5,10.374194,140.0,17 / 22,4010,2020-02-15 08:47:56:109
-1.6064,-6.2905,3.8018,2.5217,-9.475,0.1899,1.7833,0.7554,-3.5715,-1.5624,0.7079,-0.0858,5.0,-4.3,46.93,17.17,61.16,75.06,-85.69,0.0,996.63,71.223,33.910385,-84.698944,894.61,NaN,,13.5,10.374194,140.0,17 / 22,4511,2020-02-15 08:47:56:610
