ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.4753,5.2377,7.4764,-2.95,5.2335,7.751,-0.526,0.1909,0.0512,-0.3543,-0.8531,0.3778,70.0,-88.2,-72.23,-433.56,72.29,-34.75,37.48,3.1,987.84,47.745,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,22,2020-02-18 09:49:35:740
-2.4501,4.9948,7.7503,-3.1027,4.9493,7.8771,0.7526,0.0914,-0.0756,0.2131,-0.04,-0.4649,68.0,-92.86,-68.4,-432.67,62.68,-29.4,20.59,3.1,987.86,48.157,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,523,2020-02-18 09:49:36:241
-2.2299,5.3404,7.8427,-2.6321,5.2826,7.8318,0.0967,-0.0421,-0.004,-0.014,0.0213,-0.1015,59.0,-95.94,-68.32,-431.43,57.54,-32.54,18.7,3.1,987.85,46.561,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,1021,2020-02-18 09:49:36:739
-3.043,4.9975,8.1604,-2.9291,5.1097,7.841,-0.1041,-0.1465,-0.2193,-0.0614,-0.0259,-0.0509,59.0,-98.19,-70.17,-432.74,61.21,-31.4,20.48,3.1,987.85,46.659,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,1521,2020-02-18 09:49:37:239
-2.982,4.977,7.6656,-3.012,5.0654,7.8384,-0.1256,-0.056,0.1527,-0.0311,-0.0159,-0.0349,61.0,-96.08,-71.21,-431.93,62.28,-31.06,21.19,3.1,987.86,46.283,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,2021,2020-02-18 09:49:37:739
-2.8838,5.0593,7.4756,-2.8575,5.152,7.8398,-0.0913,-0.0259,-0.2641,-0.0468,-0.0369,-0.0598,59.0,-96.88,-69.27,-431.57,60.4,-31.51,20.05,3.1,987.85,47.319,33.76321,-84.38169,864.84,NaN,,,67.10968,,0 / 20,2521,2020-02-18 09:49:38:239
0.5502,4.8155,8.5114,-0.0393,4.7396,8.5851,0.6073,0.195,0.1439,-0.0798,0.2624,0.3709,51.0,-104.57,-65.65,-431.12,45.35,-29.74,6.26,3.1,987.85,46.136,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,3022,2020-02-18 09:49:38:740
-2.5681,2.3037,9.0581,-1.9475,2.7308,9.2152,0.2278,-0.3405,-0.2045,-0.4516,0.4207,-0.3451,108.0,-96.84,-57.33,-432.96,72.65,-16.17,11.93,3.1,987.87,52.441,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,3521,2020-02-18 09:49:39:239
-1.6933,2.2318,9.1366,-1.7725,2.4882,9.3327,-0.5125,-0.0014,-0.0647,0.0127,-0.0493,-0.0029,117.0,-100.04,-57.53,-431.75,75.23,-14.75,10.77,3.1,987.87,47.967,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,4021,2020-02-18 09:49:39:739
-0.7009,2.3386,9.0665,-1.3103,2.3583,9.4283,0.1266,-0.1377,0.1784,0.0874,-0.031,0.1662,106.0,-101.4,-57.8,-431.31,77.04,-13.46,9.24,3.1,987.89,48.007,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,4523,2020-02-18 09:49:40:241
-1.2912,2.2504,9.4033,-1.3781,2.3585,9.4185,0.0433,-0.0739,0.1263,0.0198,-0.0865,0.037,97.0,-99.86,-55.73,-432.07,74.53,-13.86,8.28,3.1,987.87,47.207,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,5021,2020-02-18 09:49:40:739
-1.1558,2.217,9.5076,-1.2152,2.2703,9.4625,-0.0043,-0.0911,0.0095,-0.049,-0.0328,-0.063,96.0,-100.9,-55.15,-430.43,74.75,-13.39,7.32,3.1,987.86,48.285,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,5522,2020-02-18 09:49:41:240
-1.0057,2.0819,9.2945,-1.1256,2.1674,9.4977,-0.0912,-0.0914,-0.0602,0.0391,-0.0482,0.0208,94.0,-101.51,-57.1,-430.81,75.34,-13.13,6.45,3.1,987.87,45.367,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,6021,2020-02-18 09:49:41:739
-1.0515,2.1027,9.3255,-1.0658,2.1528,9.5079,-0.0321,-0.0519,0.0148,0.0071,-0.0047,-4.0E-4,94.0,-101.46,-56.73,-430.88,76.92,-12.8,6.36,3.1,987.86,45.479,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,6521,2020-02-18 09:49:42:239
-1.1166,1.9875,9.3393,-1.0944,2.0768,9.5215,-0.0346,-0.0613,-0.0359,-0.0247,-0.0128,-0.0094,94.0,-100.93,-57.31,-431.61,76.95,-12.49,6.55,3.1,987.87,46.147,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,7021,2020-02-18 09:49:42:739
-1.0438,1.9758,9.3829,-1.0858,2.0266,9.5333,-0.0205,-0.0372,0.0194,0.0095,0.0031,0.0019,94.0,-102.46,-56.49,-430.2,78.05,-12.0,6.52,3.1,987.87,46.173,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,7522,2020-02-18 09:49:43:240
-1.0496,1.9643,9.4029,-1.092,2.0284,9.5322,-0.0382,-0.0254,-0.1001,-0.0023,-5.0E-4,0.0073,94.0,-101.51,-55.98,-429.74,78.35,-11.89,6.47,3.1,987.87,48.104,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,8021,2020-02-18 09:49:43:739
-1.0314,1.9965,9.4207,-1.0948,2.016,9.5345,-0.0392,-0.0196,-0.0156,0.001,-0.0097,0.0114,94.0,-101.11,-55.67,-429.99,78.33,-11.89,6.54,3.1,987.87,45.625,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,8521,2020-02-18 09:49:44:239
-1.4456,1.6812,8.8334,-1.231,1.9158,9.5386,-0.2493,-0.1455,-0.4059,0.0717,-0.0479,0.1421,94.0,-102.38,-56.61,-430.64,78.95,-11.8,6.53,3.1,987.87,46.585,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,9023,2020-02-18 09:49:44:741
-1.3582,2.0151,9.3243,-1.258,2.4901,9.4015,0.2269,-0.037,-0.3363,-0.1774,0.0096,-0.1565,109.0,-102.4,-58.43,-430.24,72.89,-14.71,7.62,3.1,987.87,52.268,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,9523,2020-02-18 09:49:45:241
-1.4747,2.6339,8.9074,-1.7804,2.5421,9.3026,-0.0682,0.0011,0.5024,0.1195,-0.0037,0.377,121.0,-99.12,-56.75,-432.37,74.79,-14.48,9.98,3.1,987.86,46.321,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,10021,2020-02-18 09:49:45:739
-1.2905,2.7873,8.7438,-1.4697,3.2402,9.1384,0.1924,-0.1228,-0.1789,0.0154,0.0507,-0.1654,103.0,-97.79,-57.12,-432.6,68.05,-17.17,9.59,3.1,987.86,47.07,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,10521,2020-02-18 09:49:46:239
-1.2316,3.283,8.5323,-1.3496,3.6045,9.0198,0.1523,-0.2387,-0.2719,0.0444,-0.1063,-0.0483,98.0,-96.96,-58.79,-432.79,63.08,-20.23,9.91,3.1,987.86,48.665,33.763184,-84.38168,864.84,NaN,,,67.18065,,0 / 20,11022,2020-02-18 09:49:46:740
