ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.2292,7.0602,7.1955,-1.4999,5.3174,8.1022,-0.2368,0.2575,-0.4402,-0.0928,0.014,-0.0297,1.0,-9.59,-13.14,-47.94,52.41,-34.44,11.3,3.1,996.76,30.295,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,16 / 22,11,2020-02-15 08:53:12:203
-2.0889,5.6249,8.7277,-1.3382,3.8274,8.9292,1.4304,1.6282,-0.235,0.1814,-0.2722,-0.1399,1.0,-12.72,-5.16,-48.0,56.59,-22.97,8.52,3.1,996.77,42.531,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,16 / 22,510,2020-02-15 08:53:12:702
-1.853,3.8485,8.5481,-0.6678,4.831,8.508,0.6607,-0.0353,1.1885,-0.5284,0.1904,-0.0599,2.0,-19.03,-10.38,-45.34,52.57,-32.2,1.25,3.1,996.76,54.752,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,1011,2020-02-15 08:53:13:203
0.5399,5.0623,10.0588,-0.544,4.9468,8.4501,-0.7137,0.5849,4.318,-0.2705,-0.2999,-0.3251,2.0,-16.82,-9.13,-44.48,55.06,-30.29,3.68,3.1,996.74,58.503,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,1509,2020-02-15 08:53:13:701
0.2969,6.3515,11.6748,-0.6117,4.063,8.9044,0.5079,2.4872,2.0146,-0.8535,0.167,-0.3285,4.0,-18.09,-9.55,-46.03,51.8,-30.65,0.86,3.1,996.73,40.056,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,2010,2020-02-15 08:53:14:202
-0.4202,7.6276,10.449,-0.4727,5.4484,8.1401,-0.3985,1.8523,3.0953,-0.0562,-1.0126,-0.4193,5.0,-19.59,-18.12,-39.51,73.56,-33.75,3.32,3.1,996.69,52.257,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,2509,2020-02-15 08:53:14:701
0.65,7.5713,7.4061,-0.3251,6.078,7.6892,0.0757,-0.3151,-1.7797,-0.4903,-0.2985,-0.7875,6.0,-18.97,-22.37,-34.39,85.88,-36.39,4.35,3.1,996.67,48.766,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,3009,2020-02-15 08:53:15:201
-1.9476,4.5655,4.5344,-0.5786,5.9711,7.7577,1.3736,-1.9336,-2.408,0.3184,-0.3047,-0.554,11.0,-18.78,-30.31,-34.14,100.59,-37.51,4.27,3.1,996.66,40.721,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,15 / 22,3509,2020-02-15 08:53:15:701
0.2717,5.1473,7.3738,0.4228,5.6059,8.0352,-0.046,-0.4879,-0.7109,-0.1461,-0.6579,-0.732,9.0,-20.03,-33.83,-29.85,111.09,-37.23,-1.92,3.1,996.64,56.384,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,14 / 22,4010,2020-02-15 08:53:16:202
-0.3232,5.9601,8.9336,-0.0123,5.5736,8.0688,0.6826,1.2433,1.8404,0.2434,0.2204,0.0687,9.0,-13.91,-39.48,-29.5,138.04,-34.64,0.09,3.1,996.63,50.554,33.910065,-84.69893,924.58,NaN,,0.0,10.374194,,14 / 22,4509,2020-02-15 08:53:16:701
