ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2574,3.3098,9.1574,-0.2797,3.3051,9.2287,0.0119,-0.0038,-0.1486,-0.074,0.0901,0.0282,2.0,-112.35,-65.12,-261.28,75.66,-20.5,1.01,3.1,977.79,46.991,33.910336,-84.69874,899.66,NaN,,0.0,41.496777,,16 / 22,15,2020-02-12 20:32:54:441
-0.6656,3.5445,9.2388,-0.685,3.4838,9.1413,-0.4678,-0.0565,-0.2588,-4.0E-4,0.1251,0.0037,4.0,-110.26,-66.56,-259.46,78.68,-20.54,3.78,3.1,977.79,44.775,33.910336,-84.69874,899.66,NaN,,0.0,41.496777,,16 / 22,515,2020-02-12 20:32:54:941
0.0048,1.6735,10.06,-0.2318,3.2996,9.232,-1.6807,1.0663,1.6413,0.1173,-0.7889,1.557,4.0,-108.19,-69.39,-260.52,80.96,-20.04,5.22,3.1,977.8,41.243,33.910336,-84.69874,899.66,NaN,,0.0,41.496777,,16 / 22,1015,2020-02-12 20:32:55:441
-0.7745,2.7568,8.5601,-1.0169,3.3469,9.1616,0.1216,-0.5134,-0.4375,-0.1386,0.0034,0.0244,2.0,-105.45,-71.49,-259.08,80.65,-20.96,6.19,3.1,977.78,48.11,33.910336,-84.69874,899.66,NaN,,0.0,41.496777,,16 / 22,1515,2020-02-12 20:32:55:941
-0.5973,2.3594,9.2664,-1.1042,2.3046,9.4678,0.0491,-0.1649,1.0485,0.1159,0.1115,0.0723,0.0,-105.52,-67.99,-259.05,86.85,-17.08,6.13,3.1,977.77,41.347,33.910336,-84.69874,899.66,NaN,,0.0,41.496777,,16 / 22,2015,2020-02-12 20:32:56:441
-1.5765,2.3366,9.6027,-2.2042,2.517,9.2183,0.3814,-1.5091,2.1404,0.1563,0.582,0.8954,3.0,-101.99,-66.27,-253.51,102.23,-8.49,9.31,3.1,977.75,57.264,33.91034,-84.69874,902.31,NaN,,0.0,13.832258,,16 / 22,2516,2020-02-12 20:32:56:942
-1.0438,5.6908,6.7909,-2.5945,6.0023,7.3083,1.5466,-0.3979,-0.2369,0.2644,-0.3389,-0.033,0.0,-96.48,-94.32,-240.79,79.19,-36.34,22.47,3.1,977.75,67.86,33.91034,-84.69874,902.31,NaN,,0.0,13.832258,,16 / 22,3016,2020-02-12 20:32:57:442
-0.7338,5.8536,7.0327,-1.6645,6.6185,7.0424,1.4263,-0.5781,0.4006,0.4856,-0.9332,-0.8048,8.0,-99.34,-88.14,-248.97,67.31,-39.46,15.51,3.1,977.76,63.614,33.91034,-84.69874,902.31,NaN,,0.0,13.832258,,16 / 22,3515,2020-02-12 20:32:57:941
-1.9009,7.0351,4.4159,-0.5673,7.0396,6.8039,-1.397,-0.7287,-2.2832,-0.4542,-0.3356,-0.3331,1.0,-109.22,-88.16,-256.46,45.81,-47.07,3.73,3.1,977.77,47.912,33.91034,-84.69874,902.31,NaN,,0.0,13.832258,,16 / 22,4015,2020-02-12 20:32:58:441
0.5722,5.8979,7.4576,-0.4754,7.0393,6.8112,1.7435,-0.7187,0.7705,-0.1127,0.3453,-0.125,0.0,-116.24,-82.34,-259.46,46.3,-45.6,2.9,3.1,977.77,36.318,33.910347,-84.698746,910.76,NaN,,2.99,13.832258,341.2,15 / 22,4515,2020-02-12 20:32:58:941
